id,name,type,description,adresse,ville,department,horaires,fermeture,phone,website,instagram,maps,specialites,langues,tags,online,livraison,note,featured,active
lib1,Librairie Tawhid,mixte,"L'une des plus grandes librairies islamiques de France. Fondée en 1985 à Paris, elle propose plus de 5 000 références en français, arabe et anglais. Livres de sciences islamiques, manuels d'arabe, CD, vêtements et accessoires.",23 rue des Fossés-Saint-Bernard,Paris,75,Lun–Sam 10h–19h,Dimanche fermé,01 43 25 05 85,https://www.tawhid.fr,https://www.instagram.com/librairie_tawhid,#,"coran-tafsir,hadith,fiqh,arabe,enfants,livres-francais,vetements,accessoires","Français,Arabe,Anglais","référence,paris,grande-surface,fondée-1985",TRUE,TRUE,Livraison France et international disponible sur le site,TRUE,TRUE
lib2,Al-Bouraq Éditions & Librairie,mixte,"Maison d'édition et librairie spécialisée dans les traductions françaises de classiques islamiques. Large choix de livres de spiritualité, soufisme et textes fondamentaux traduits par des spécialistes.",26 rue Merlin,Paris,75,Lun–Sam 10h–18h30,,01 43 79 35 35,https://www.albouraq.com,,#,"spiritualite,livres-francais,histoire-islam,coran-tafsir","Français,Arabe","éditions,spiritualité,traductions,classiques",TRUE,TRUE,,FALSE,TRUE
lib3,Ennour Librairie,physique,"Librairie islamique de référence à Saint-Denis. Grand choix de livres, manuels d'arabe, Corans de toutes tailles, vêtements islamiques, parfums et accessoires. Accueil chaleureux, conseils personnalisés.",12 rue de la Légion d'Honneur,Saint-Denis,93,"Lun–Sam 9h30–19h30, Dim 10h–17h",,01 48 09 XX XX,,#,#,"coran-tafsir,arabe,enfants,vetements,accessoires,parfums-huiles","Français,Arabe","saint-denis,93,vêtements,parfums,ouvert-dimanche",FALSE,FALSE,Ouvert le dimanche,FALSE,TRUE
lib4,Librairie du Savoir — As-Salam,physique,"Petite librairie spécialisée dans les livres pédagogiques pour enfants et adolescents musulmans. Histoires des prophètes, activités, coloriages, Corans pour enfants, méthodes d'arabe jeunesse.",7 avenue du Président Wilson,Bobigny,93,Mar–Sam 10h–18h,Lun et Dim fermés,,,#,#,"enfants,arabe,coran-tafsir","Français,Arabe","enfants,pédagogie,bobigny,93,spécialisé",FALSE,FALSE,Spécialisé enfants & adolescents,FALSE,TRUE
lib5,Al-Hadith Librairie,mixte,"Librairie tournée vers les sciences islamiques traditionnelles. Fort stock en hadith, usul al-fiqh, aqida. Nombreux titres en arabe importés d'Égypte, du Maroc et d'Arabie Saoudite. Commandes spéciales possibles.",45 boulevard de Belleville,Paris,75,Lun–Sam 10h–19h,,01 43 57 XX XX,#,,#,"hadith,fiqh,coran-tafsir,arabe","Arabe,Français","sciences-islamiques,arabe,import,commande-spéciale",TRUE,TRUE,"Importation directe depuis les pays arabes, commandes spéciales bienvenues",FALSE,TRUE
lib6,Islam & Savoirs,physique,"Librairie familiale à Évry-Courcouronnes. Sélection de livres en français, manuels d'arabe pour adultes et enfants, Corans, vêtements modestes et accessoires de prière. Ambiance conviviale.",15 place des Terrasses de l'Agora,Évry-Courcouronnes,91,Mar–Dim 10h–19h,Lundi fermé,01 60 XX XX XX,,#,#,"livres-francais,arabe,vetements,accessoires,enfants","Français,Arabe","évry,91,famille,accessible",FALSE,FALSE,,FALSE,TRUE
lib7,Sabil Al-Ilm,physique,"Librairie islamique au cœur de Clichy-sous-Bois, une des rares du 93 Est. Vaste rayon arabe, linguistique et sciences islamiques. Tenue modeste disponible, livres jeunesse bien fournis.",3 rue de Montfermeil,Clichy-sous-Bois,93,Lun–Sam 9h–19h,,,,#,#,"arabe,coran-tafsir,enfants,vetements","Arabe,Français","clichy-sous-bois,93,est-idf",FALSE,FALSE,,FALSE,TRUE
lib8,Nour Al-Ilm — En ligne,en-ligne,"Boutique 100% en ligne spécialisée dans les livres islamiques en français. Forte expertise éditoriale, newsletters avec recommandations de lecture, coffrets cadeaux islamiques. Livraison express en France.",,En ligne,75,,,,#,#,,"livres-francais,spiritualite,histoire-islam,enfants,coran-tafsir",Français,"en-ligne,livraison-express,coffrets-cadeaux,newsletter",TRUE,TRUE,Coffrets cadeaux islamiques personnalisables,TRUE,TRUE
lib9,Dار Al-Andalus — Librairie & Galerie,physique,"Librairie-galerie d'art islamique à Vincennes. Livres d'art, calligraphie, histoire de la civilisation islamique, cartes géographiques du monde arabo-musulman. Lieu culturel autant que commercial.",18 rue de Fontenay,Vincennes,94,Mar–Sam 11h–19h,Lun et Dim fermés,01 43 XX XX XX,#,,#,"histoire-islam,spiritualite,livres-francais","Français,Arabe,Anglais,Espagnol","galerie,art-islamique,calligraphie,vincennes,94",FALSE,FALSE,Expositions temporaires de calligraphie islamique,FALSE,TRUE
lib10,Al-Falah Librairie,physique,"Librairie bien fournie à Mantes-la-Jolie. Grand rayon arabe, fiqh et Coran. Nombreux livres pour apprendre l'arabe à tous les niveaux. Accessoires de prière, tapis, vêtements.",5 rue Porte aux Saints,Mantes-la-Jolie,78,Lun–Sam 9h30–19h,,,,,#,"arabe,coran-tafsir,fiqh,vetements,accessoires","Arabe,Français","mantes-la-jolie,78,fiqh",FALSE,FALSE,,FALSE,TRUE
