id,title,category,date,timeStart,timeEnd,location,address,city,department,organizer,organizerUrl,description,format,registrationUrl,isFree,price,tags,featured,active
conf-ethique-travail,Conférence : L'Éthique au Travail en Islam,conference,2026-04-05,14h00,17h00,Grande Mosquée de Paris,2 bis Place du Puits de l'Ermite,Paris 5e,75,Institut Al-Ghazali,https://www.mosqueedeparis.net,"Conférence sur les valeurs islamiques dans le monde professionnel : honnêteté, relations au travail, halal et transactions.",presentiel,,TRUE,,"travail,éthique,adultes",TRUE,TRUE
maraude-gare-nord,Maraude Solidaire — Gare du Nord,maraude,2026-04-10,19h30,22h00,Gare du Nord,Parvis de la Gare du Nord,Paris 10e,75,Au Cœur de la Fraternité,,Distribution de repas chauds et produits d'hygiène aux personnes sans-abri. Venez avec votre bonne énergie !,presentiel,https://example.com,TRUE,,"solidarité,sans-abri,bénévolat",TRUE,TRUE
webinaire-ia-2026,Webinaire : Comprendre les enjeux de l'IA,webinaire,2026-04-02,20h00,21h30,En ligne (Zoom),,En ligne,00,Muslim Tech Network,,Tour d'horizon des impacts de l'intelligence artificielle sur la société et sur notre communauté. Questions/réponses en direct.,enligne,https://example.com,TRUE,,"technologie,IA,jeunes",,TRUE
maraude-vincennes,Maraude — Bois de Vincennes,maraude,2026-04-12,18h30,21h00,Bois de Vincennes — entrée Porte Dorée,,Paris 12e,75,Secours Islamique France,,Distribution de repas et vêtements aux personnes vivant dans le Bois de Vincennes. Point de rendez-vous à la Porte Dorée. Bonne chaussure conseillée.,presentiel,https://example.com,TRUE,,"solidarité,sans-abri,bénévolat,SIF",,TRUE
maraude-saint-denis,Maraude mensuelle — Saint-Denis,maraude,2026-04-19,20h00,22h30,Centre-ville de Saint-Denis,,Saint-Denis,93,Association Al-Amal,,"Maraude mensuelle avec distribution de soupe chaude, pain et produits d'hygiène. Rejoignez l'équipe au point de départ.",presentiel,,TRUE,,"solidarité,sans-abri,93,mensuel",,TRUE
maraude-nanterre,Maraude — Nanterre / La Défense,maraude,2026-04-25,19h00,21h30,Parvis de La Défense,,Nanterre,92,Bénévoles du 92,,Distribution de repas et d'essentiel aux personnes à la rue autour de La Défense. Préparation des sacs dès 18h30 pour les motivés !,presentiel,,TRUE,,"solidarité,sans-abri,92,La Défense",,TRUE
jeunesse-conference-foi,Conférence Jeunes — Ma foi face aux défis du monde,jeunesse,2026-04-18,14h00,17h00,Centre culturel islamique — Aubervilliers,,Aubervilliers,93,JMF Île-de-France,,"Conférence pour les 18-35 ans : comment garder sa foi dans un monde moderne ? Réseaux sociaux, travail, relations… Débat ouvert avec deux intervenants.",presentiel,,TRUE,,"jeunesse,18-35 ans,foi,conférence",TRUE,TRUE
iftar-collectif-93,Iftar Collectif & Solidaire,iftar,2026-04-08,19h45,,Mosquée de Saint-Denis,,Saint-Denis,93,Association An-Nour,,"Iftar communautaire ouvert à tous. Repas partagé, dou'a collectif. Invitez vos voisins !",presentiel,,TRUE,,"Ramadan,iftar,communauté",TRUE,TRUE
conf-droits-musulmans,Conférence : Vos droits en tant que musulman en France,conference,2026-04-12,15h00,17h30,Salle communautaire,,Créteil,94,Collectif Justice & Foi,,"Un avocat et un imam répondent ensemble à vos questions : port du voile au travail, prière, discriminations, recours légaux.",presentiel,,TRUE,,"droits,laïcité,voile,travail",,TRUE
collecte-palestin-92,Collecte Humanitaire — Gaza,collecte,2026-04-13,09h00,17h00,Mosquée de Colombes,,Colombes,92,Human Appeal France,,"Collecte de dons pour les familles à Gaza. Vêtements, médicaments, et dons financiers. Reçu fiscal disponible.",presentiel,,TRUE,,"humanitaire,Gaza,collecte,don",,TRUE
collecte-vetements-printemps,Collecte vêtements & jouets — Printemps,collecte,2026-04-20,10h00,16h00,Mosquée de Montreuil,,Montreuil,93,Réseau Entraide 93,,"Collecte de vêtements (toutes tailles), jouets et livres pour redistribution aux familles dans le besoin. Tout don est bienvenu.",presentiel,,TRUE,,"collecte,vêtements,jouets,familles",,TRUE
collecte-alimentaire-95,Collecte alimentaire non-périssable — Sarcelles,collecte,2026-04-27,09h00,17h00,Mosquée Al-Rahma — Sarcelles,,Sarcelles,95,Association Rahma Solidarité,,"Dépôt de produits alimentaires non-périssables (conserves, pâtes, riz, huile, sucre). Redistribution aux familles du 95 dans le besoin.",presentiel,,TRUE,,"alimentaire,collecte,95,familles",,TRUE
jeunesse-sport-93,Tournoi de foot inter-mosquées,jeunesse,2026-04-19,10h00,18h00,Stade municipal de Bobigny,,Bobigny,93,Jeunes Musulmans de France — IDF,,Tournoi de football fraternité entre équipes des mosquées d'Île-de-France. Remise de prix et barbecue halal.,presentiel,,TRUE,,"sport,foot,jeunesse,fraternité",,TRUE
conf-femme-islam,La Femme dans le Coran — Cycle de conférences,conference,2026-04-20,14h00,16h00,Centre Islamique de Mantes,,Mantes-la-Jolie,78,Réseau des Sœurs d'Île-de-France,,Cycle mensuel de conférences sur le statut de la femme dans le Coran et la Sunnah. Intervenante : Ustadha Fatima.,presentiel,,TRUE,,"femmes,Coran,sœurs",,TRUE
webinaire-tajwid-live,Session live Tajwid — Correction individuelle,webinaire,2026-04-26,20h00,21h30,En ligne (Zoom),,En ligne,00,Sheikh Ahmed — Professeur Égypte,,Session de correction de récitation en direct. Chaque participant lit quelques versets et reçoit une correction personnalisée.,enligne,https://example.com,FALSE,5€,"Tajwid,Coran,récitation,en ligne",,TRUE
