id,title,organizer,platform,url,description,category,raised,goal,currency,country,nb_donateurs,verified,featured,active,mosqueeId
gaza-urgence,Aide d'urgence — Familles de Gaza,Human Appeal France,launchgood,https://www.launchgood.com/campaign/help_gaza_families,"Aide alimentaire, médicale et abris d'urgence pour les familles déplacées à Gaza. Reçu fiscal disponible.",palestine,142000,200000,USD,Palestine,3842,TRUE,TRUE,TRUE,
puits-afrique,Construction de puits — Mali & Sénégal,Secours Islamique France,launchgood,https://www.launchgood.com/campaign/water_wells_africa,Un puits = des centaines de familles alimentées en eau potable. L'eau comme sadaqa jariya.,eau-puits,28500,50000,EUR,Mali / Sénégal,612,TRUE,TRUE,TRUE,
mosquee-paris-reno,Rénovation Salle de Prière — Mosquée Al-Fath,Association Al-Fath,helloasso,https://www.helloasso.com/associations/al-fath,La salle de prière principale a besoin d'une rénovation urgente pour accueillir les frères et sœurs dans de meilleures conditions.,mosquee,11200,25000,EUR,France,189,FALSE,,TRUE,
corans-prison,Distribution de Corans en prison,Aumônerie Musulmane de France,helloasso,https://www.helloasso.com/associations/aumonerie-musulmane,Offrir le Coran et des livres islamiques aux détenus musulmans. Chaque livre peut changer une vie.,education,4300,8000,EUR,France,97,TRUE,,TRUE,
orphelins-syrie,Parrainage d'orphelins — Syrie,La Maison des Orphelins,launchgood,https://www.launchgood.com/campaign/orphan_sponsorship_syria,"Parrainez un orphelin syrien : scolarité, nourriture et soins médicaux. À partir de 1€/jour.",orphelins,67000,100000,EUR,Syrie,1240,TRUE,TRUE,TRUE,
famille-sinistr-93,Famille sinistrée suite à incendie — Aubervilliers,Collectif Entraide 93,leetchi,https://www.leetchi.com/c/famille-aubervilliers,Une famille de 5 enfants a tout perdu dans un incendie. Aide pour relogement et équipement urgent.,famille,3200,6000,EUR,France,78,FALSE,,TRUE,
soudan-urgence,Urgence Soudan — Déplacés de guerre,Islamic Relief France,launchgood,https://www.launchgood.com/campaign/sudan_emergency,Le conflit au Soudan a forcé des millions de personnes à fuir. Aide alimentaire d'urgence.,urgence,89000,150000,USD,Soudan,2100,TRUE,TRUE,TRUE,
ecole-coranique-93,Financement école coranique — Saint-Denis,Madrassa An-Nour,helloasso,https://www.helloasso.com/associations/madrassa-an-nour,Aider à financer le loyer et le matériel pédagogique pour 80 enfants qui apprennent le Coran et l'arabe.,education,5800,12000,EUR,France,134,FALSE,,TRUE,
mosquee-construction-78,Construction mosquée — Versailles,Association Al-Barakah 78,launchgood,https://www.launchgood.com/v2/campaign/new_mosque_versailles,Premier lieu de culte digne à Versailles pour une communauté de 8 000 musulmans. La communauté attend depuis 20 ans.,mosquee,340000,800000,EUR,France,4200,TRUE,TRUE,TRUE,
orphelins-gaza,Parrainage orphelins — Gaza,Human Appeal France,launchgood,https://www.launchgood.com/campaign/orphans_gaza,Des milliers d'enfants ont perdu leurs parents. Parrainage mensuel pour leur scolarité et leur avenir.,orphelins,220000,500000,USD,Palestine,5800,TRUE,TRUE,TRUE,
