id,title,type,organizer,city,department,description,contactUrl,phone,tags,recurring,nextDate,active,instagram,facebook,email,website
palmed-france,Aide médicale humanitaire Palestine,humanitaire,PalMed France,Paris,75,"Association de médecins franco-palestiniens fondée en 2008. Envoi de médecins et soignants à Gaza, matériel médical, formation des médecins palestiniens et soutien aux étudiants en médecine.",https://palmedfrance.fr,0748528251,palestine|médecin|humanitaire|gaza|sante,TRUE,,TRUE,https://www.instagram.com/palmed.france/,https://www.facebook.com/people/Palmed-France/61556753813058/,palmedfrance2008@gmail.com,https://palmedfrance.fr
emf-etudiants-musulmans-france,Réseau étudiant musulman national,association-etudiante,Étudiants Musulmans de France (EMF),Paris,75,"Fédération de 25 sections étudiantes en France. Actions sociales contre la précarité, activités culturelles, représentation universitaire et formation de citoyens engagés.",https://www.emf-asso.fr,,etudiants|jeunesse|universite|social|bénévolat,TRUE,,TRUE,https://www.instagram.com/emfasso/,https://www.facebook.com/EMF.Asso/,contact@emf-asso.com,https://www.emf-asso.fr
association-tahara,Toilette rituelle des défunts musulmans,funeraire,Association Tahara,Champs-sur-Marne,77,"Service gratuit de lavage rituel (Tahara/Ghusl) des défunts selon les préceptes islamiques. Formations gratuites dans toute la France. Pôle social d'accompagnement des familles endeuillées.",https://associationtahara.com,0651569879,funeraire|tahara|ghusl|décès|formation|ile-de-france,TRUE,,TRUE,https://www.instagram.com/association_tahara/,https://www.facebook.com/association.tahara/,lavagerituel.tahara@gmail.com,https://associationtahara.com
institut-paris-eglantine,Coran et ressources en Braille pour déficients visuels,distribution,Institut Paris Eglantine,Paris,75,"Association fondée en 2008 dédiée à l'accès à la culture et à la connaissance pour les personnes en situation de handicap. Propose le Coran en Braille, kits d'accessibilité et supports adaptés.",https://www.ipe08.com,+33601232346,braille|handicap|coran|accessibilite|inclusion,TRUE,,TRUE,https://www.instagram.com/institut_paris_eglantine/,,info@ipe08.com,https://www.ipe08.com
lumiere-sur-lumiere-puits,Construction de puits au Bangladesh,humanitaire,Lumière sur Lumière,Verviers,BE,"Financement de puits simples au Bangladesh pour l'accès durable à l'eau potable. Prix : 320€ par puits. Construction en 4 à 8 semaines avec photos et vidéos envoyées. Paiement par QR code. Sadaqa jariya.",https://lumieresurlumiere.be/financer-un-puits/,+33698419643,puits|eau|bangladesh|humanitaire|belgique|sadaqa-jariya,TRUE,,TRUE,https://www.instagram.com/lumiere.sur.lumiere/,,contact@lumieresurlumiere.be,https://lumieresurlumiere.be
lumiere-sur-lumiere-orphelins,Nourrir un orphelin,humanitaire,Lumière sur Lumière,Verviers,BE,"Programme de soutien alimentaire aux orphelins. Permettre à un enfant orphelin d'avoir un repas quotidien grâce à votre don.",https://lumieresurlumiere.be/faire-un-don/,+33698419643,orphelin|alimentaire|humanitaire|belgique|enfants|sadaqa,TRUE,,TRUE,https://www.instagram.com/lumiere.sur.lumiere/,,contact@lumieresurlumiere.be,https://lumieresurlumiere.be
saphir-humanitaire,Association humanitaire — Eau / Alimentation / Éducation / Urgence,humanitaire,Saphir Humanitaire,Lille,59,"Association humanitaire basée à Lille. Interventions au Maroc, en Syrie, Palestine et Tunisie. Projets : accès à l'eau potable, sécurité alimentaire, caisse orphelins & éducation, aide d'urgence (séismes, inondations). Slogan : « Faisons de nos actions un océan d'espoir ».",https://saphirhumanitaire.com,0769206129,maroc|syrie|palestine|tunisie|eau|alimentaire|éducation|orphelin|humanitaire|nord,TRUE,,TRUE,https://www.instagram.com/saphir_humanitaire/,https://www.facebook.com/Saphirhumanitaire,contact@saphirhumanitaire.com,https://saphirhumanitaire.com
saphir-humanitaire-inondations-maroc,Urgence inondations — Ksar El Kébir (Maroc),humanitaire,Saphir Humanitaire,Lille,59,"Collecte urgente pour financer des kits d'urgence pour les rescapés des inondations à Ksar El Kébir au Maroc. Don possible par HelloAsso (QR code), chèque, virement IBAN FR76-3002-7170-0500-0216-5310-224 (ordre : Saphir Humanitaire) ou carte bancaire. Objectif : 10 000$ — 3 558$ collectés (36%). Fin le 2026-07-31.",https://www.helloasso.com/associations/saphir-humanitaire/collectes/urgence-inondations-ksar-el-kebir-2,0769206129,maroc|inondations|urgence|ksar-el-kebir|kits-urgence|humanitaire,FALSE,2026-07-31,TRUE,https://www.instagram.com/saphir_humanitaire/,https://www.facebook.com/Saphirhumanitaire,contact@saphirhumanitaire.com,https://saphirhumanitaire.com
al-rahma-thorigny-mosquee,Construction de la 1ère mosquée de Thorigny-sur-Marne,mosquee,Association Al Rahma,Thorigny-sur-Marne,77,"Projet de construction de la première mosquée de Thorigny-sur-Marne. Terrain de 1000m² acquis en 2025. Collecte de fonds depuis 2019 dans les mosquées de France (77, IDF, Toulon, Lyon, Vosges...). Reconnaissance officielle par le conseil municipal (vote unanime). 2022-2024 : adorations en salles municipales — Ramadan en tente. Dès 2026 : lancement de la construction.",https://www.helloasso.com/associations/al-rahma/collectes/thorigny-une-epopee-qui-s-ecrit,0768036831,mosquee|construction|thorigny|77|ile-de-france|communaute|sadaqa-jariya,TRUE,,TRUE,https://www.instagram.com/tho.alrahma/,https://www.facebook.com/tho.alrahma/,amt.alrahma@gmail.com,
dignite-international,DIGNITÉ International — Aide humanitaire multi-pays,humanitaire,DIGNITÉ International,Villenoy,77,"Association humanitaire d'intérêt général (W771011750) intervenant dans +20 pays. Programmes : aide médicale, accès à l'eau, sécurité alimentaire, soutien aux orphelins, éducation, réponse aux urgences. 17,7M repas distribués, 203 000 traitements médicaux en 2024. Déduction fiscale jusqu'à 75%. IBAN FR76 3000 4008 5600 0102 5233 758 / BIC BNPAFRPPXXX.",https://www.dignite-international.org,0749382305,humanitaire|palestine|gaza|maroc|syrie|afrique|eau|médical|orphelin|zakat|multi-pays,TRUE,,TRUE,https://www.instagram.com/dignite_international/,https://www.facebook.com/dignite.international,contact@dignite-international.org,https://www.dignite-international.org
