id_osm,nom,adresse,ville,code_postal,departement,territoire,latitude,longitude,website,telephone,horaires,instagram,facebook,statut,notes_admin
296924979,Salle de prière,Rue des Marchands,Coignières,78310,78,France metropolitaine,"48,7502922","1,9196722",http://avecc.over-blog.com/,,,,,a verifier,
340247284,Mosquée Philippe Grenier,6 Place Jules Pagnier,Pontarlier,25300,25,France metropolitaine,"46,9046068","6,3571272",,,,,,a verifier,
476278241,Mosquée Niya,43 Rue des Chantaloups,Romainville,93230,93,France metropolitaine,"48,8916683","2,433699",,,,,,a verifier,
670635777,Mosquée Al'Madina,5 Rue Des Lataniers,Saint-Denis,97400,974,France metropolitaine,"-20,8862831","55,462834",http://geodesie.ign.fr/fiches/index.php?module=e&action=fichepdf&source=carte&sit_no=97411G&territoire=reunion,,,,,a verifier,Mosquie : Minaret : Axe et sommet dôme - Point vu en place en 1992
672114819,Mosquée,51 Square des Sorbiers,Le Mée-sur-Seine,77350,77,France metropolitaine,"48,5437422","2,6352907",,,,,,a verifier,
730688632,Mosquée de Persan,69 Avenue Gaston Vermeire,Persan,95340,95,France metropolitaine,"49,1511047","2,275185",,,,,,a verifier,
881090108,Mosquée 'Ali Ibn Al Khattab,83 Rue du Faubourg Saint-Denis,Paris,75010,75,France metropolitaine,"48,8735208","2,3547382",,,,,,a verifier,
881308332,Mosquée de Paris 15ème,47 Rue des 4 Frères Peignot,Paris,75015,75,France metropolitaine,"48,845432","2,2826721",,,,,,a verifier,
886032807,Mosquée,17 Cours Edouard Branly,Lesparre-Médoc,33340,33,France metropolitaine,"45,3033429","-0,9227162",,,,,,a verifier,
886080780,Mosquée de Talence,5 Rue Henry de Montherlant,Talence,33400,33,France metropolitaine,"44,7972504","-0,5809593",,,,,,a verifier,
889283814,Masjid Annour,65 Rue des Petites Fermes,Strasbourg,67200,67,France metropolitaine,"48,5796747","7,7114907",,,,,,a verifier,
925150448,Mosquée,56 Square du Mont Blanc,Chambéry,73000,73,France metropolitaine,"45,5657029","5,9249166",,,,,,a verifier,
943327433,Masjid Ibn-Badiss,82 Rue des Carmes,Orléans,45000,45,France metropolitaine,"47,9023479","1,8987106",,,,,,a verifier,
965055668,"A.U.M.I ""Nour""",4 Rue Gaston Monmousseau,Vénissieux,69200,69,France metropolitaine,"45,6960489","4,8774589",,,,,,a verifier,
965055684,Es-Sunna,46 Chemin du Charbonnier,Vénissieux,69200,69,France metropolitaine,"45,6975163","4,8991924",,,,,,a verifier,
966115424,Association Islamique de Brignais Abou Bakr,85 Rue Michel Colucci,Brignais,69530,69,France metropolitaine,"45,6696306","4,7596934",,,,,,a verifier,
966121399,Bilal,6 Avenue Vladimir Komarov,Vénissieux,69200,69,France metropolitaine,"45,6910555","4,8739593",,,,,,a verifier,
966603552,El Hijra,61 Rue Fleury,Vichy,3200,3,France metropolitaine,"46,1225048","3,4312325",,,,,,a verifier,
966609251,Centre Culturel Islamique de Moulins,57 Rue du Pont de Bois,Moulins,3000,3,France metropolitaine,"46,5718028","3,3404087",,,,,,a verifier,
966623100,Association pour la Connaissance de l'Islam,3 Rue Emile Zola,Tarare,69170,69,France metropolitaine,"45,8957438","4,4332802",,,,,,a verifier,
971922421,Al Kheyr,17 bis Rue Charles Dumont,Dijon,21000,21,France metropolitaine,"47,3132237","5,042037",,,,,,a verifier,
971922473,Mosquée Er-Rahma,32 Rue Jean Rechepin,Châteauroux,36000,36,France metropolitaine,"46,8063139","1,7039568",,,,,,a verifier,
1068931988,Association du Centre Culturel Marocain,2 Rue des Étapes,Saint-Claude,39200,39,France metropolitaine,"46,3846728","5,8616639",,,,,,a verifier,
1310624734,Mosquée Nour el Mohamadi,34 Rue des Menuts,Bordeaux,33000,33,France metropolitaine,"44,8342539","-0,567666",,,,,,a verifier,
1310649550,Masjîd de la Fraternité,86 Boulevard Félix Faure,Aubervilliers,93300,93,France metropolitaine,"48,9053922","2,3819002",,,,,,a verifier,
1317777512,Mosquée de l'association des musulmans d'Allonnes,10-16 Rue Charles Gounod,Allonnes,72700,72,France metropolitaine,"47,9702265","0,1650178",,,,,,a verifier,
1459105491,Mosquée AT-Taqwa,9 Avenue Camille Pelletan,Marseille,13002,13,France metropolitaine,"43,3027227","5,373925",,,,,,a verifier,
1482551750,La Grande Mosquée de la Sounna,353 Boulevard National,Marseille,13003,13,France metropolitaine,"43,3136062","5,3742821",,,,,,a verifier,
1496572632,Mosquée Bilal,1 Avenue de l'Europe,Laxou,54520,54,France metropolitaine,"48,6784635","6,1444126",,,,,,a verifier,
1504613681,Mosquée,29 Rue Émile Zola,Villeneuve-Saint-Georges,94190,94,France metropolitaine,"48,7354876","2,4497996",,,,,,a verifier,
1782805239,Mosquée de Bordeaux,50 Rue Jules Guesde,Bordeaux,33800,33,France metropolitaine,"44,8295309","-0,5644508",,,,,,a verifier,
1785987577,Mosquée,5 Avenue d'Abondance,Évian-les-Bains,74500,74,France metropolitaine,"46,4000168","6,5974134",,,,,,a verifier,
2102266907,Mosquée,51 Route Emile Renouf,Honfleur,14600,14,France metropolitaine,"49,4120679","0,2469218",,,,,,a verifier,
2131164709,Association des Projets de Bienfaisance Islamique en France,56/3 Grand Mail,Montpellier,34080,34,France metropolitaine,"43,6240939","3,8164062",https://www.apbif.fr,,,,,a verifier,
2352370439,lieu de prière,15 Rue Saint-Just,Saint-Étienne,42000,42,France metropolitaine,"45,4401649","4,3772963",,,,,,a verifier,
2409691300,Association culturelle Islamique,30 Avenue Brillat Savarin,Belley,1300,1,France metropolitaine,"45,7560505","5,6965211",,,,,,a verifier,
2419929966,Mosquée du sillon de Bretagne,39 Avenue de l'Angevinière,Saint-Herblain,44800,44,France metropolitaine,"47,244468","-1,6121334",,,,,,a verifier,
2591253029,Union des Organisations Islamiques de France,20 Rue de la Prévoté,La Courneuve,93120,93,France metropolitaine,"48,9294308","2,4038695",,,,,,a verifier,
2757989574,Abdoulmajid,77 Rue Philippe de Girard,Paris,75018,75,France metropolitaine,"48,8876198","2,3606505",,,,,,a verifier,
2758048825,Mosquée A Daawa,39 Rue de Tanger,Paris,75019,75,France metropolitaine,"48,887437","2,369842",,,,,,a verifier,
2845158157,Salle de prière de Châtillon,2 Allée Peyronnet,Châtillon,92320,92,France metropolitaine,"48,8076144","2,2961801",,,,,,a verifier,
2851757131,Mosquée de Noisy,7 Rue Léon Menu,Bry-sur-Marne,93160,93,France metropolitaine,"48,8431118","2,5325015",,,,,,a verifier,
2851777635,Mosquée de Choisy-le-Roi,6 Voie des Roses,Choisy-le-Roi,94400,94,France metropolitaine,"48,7722845","2,4070633",https://www.mosquee-choisy.com,,,,,a verifier,
2851801502,Mosquée de Rosny-sous-Bois,Rue Philibert Hoffmann,Rosny sous Bois,93110,93,France metropolitaine,"48,8819623","2,4866656",http://mosquee-amr.com/,,,,,a verifier,
2851874968,Mosquée des Abeilles,14 Rue Jules Verne,Levallois-Perret,92532,92,France metropolitaine,"48,8949474","2,2993458",,,,,,a verifier,
3114359242,Mosquée,39 Allée du Mens,Villeurbanne,69100,69,France metropolitaine,"45,7805263","4,9058028",,,,,,a verifier,
3142167124,Mosquée turque,13 Rue de Verdun,Bruyères,88600,88,France metropolitaine,"48,208563","6,7243501",,,,,,a verifier,
3173159710,Mosquée de l'Union,Avenue du Professeur Louis Ravas,Montpellier,34000,34,France metropolitaine,"43,6221696","3,8454268",,,,,,a verifier,
3247564841,Mosquée Salam,2 Rue Jean Racine,Grande-Synthe,59760,59,France metropolitaine,"51,012983","2,2931973",http://islamdunkerquois.org/,,,,,a verifier,
3256284166,Mosquée Omar Ibn al-Kattab,9 Rue de Stalingrad,Wattrelos,59150,59,France metropolitaine,"50,6984605","3,2125598",http://www.mosquee-wattrelos.com/,,,,,a verifier,
3256284167,Mosquée de Marcq-en-Barœul,2 Rue Georges Bizet,Marcq-en-Barœul,59700,59,France metropolitaine,"50,666249","3,0844957",,+33320891603,,,,a verifier,
3258608870,Mosquée Sunna,Rue Jules Campagne,Hautmont,59330,59,France metropolitaine,"50,2464389","3,9066624",http://masjidsunna.fr/,,,,,a verifier,
3264467764,Mosquée Eyüp Sultan,90 Rue Daubenton,Roubaix,59100,59,France metropolitaine,"50,7011149","3,1786145",,+33 3 20 70 67 09,,,,a verifier,
3279098376,Mosquée de Wingles,1 Zal du Pronet,Wingles,62410,62,France metropolitaine,"50,4953949","2,8472189",,,,,,a verifier,
3360104857,Masjid Alrahmen,65 Rue du Chevaleret,Paris,75013,75,France metropolitaine,"48,8281555","2,3764586",,,,,,a verifier,
3360104858,Association Islamique en France,35 Cité Industrielle,Paris,75011,75,France metropolitaine,"48,8595011","2,3801477",,,,,,a verifier,
3481534880,Mosquée Sidna Nuh,Rue Louise Michel,Dugny,93440,93,France metropolitaine,"48,9491084","2,4129723",,,,,,a verifier,
3513961332,Mosqué El Imane,97 Rue Kléber Prolongée,Marseille,13003,13,France metropolitaine,"43,3107738","5,3774557",,,,,,a verifier,
3843467306,Mosquée,21 Rue Maison Maraine,Nogent-le-Rotrou,28400,28,France metropolitaine,"48,3215773","0,8031009",,,,,,a verifier,
3844510404,Mosquée Omar,6 Rue André Malraux,Dreux,28100,28,France metropolitaine,"48,7361734","1,3460377",,,,,,a verifier,
3860947592,Ibn Omaïr,5 Rue le Corbusier,La Chapelle-Saint-Luc,10600,10,France metropolitaine,"48,3099135","4,0364614",,,,,,a verifier,
3931764191,Mosquée Rahma,390 Rue de Merville,Hazebrouck,59190,59,France metropolitaine,"50,710745","2,5483559",http://mosqueehazebrouck.unblog.fr,,,,,a verifier,
3932433843,Mosquée du Foyer,729 Rue de l'Agathois,Montpellier,34080,34,France metropolitaine,"43,6292245","3,8234204",,,,,,a verifier,
3968445662,Mosquée,Avenue du Capitaine Michel Lespine,Mont-de-Marsan,40000,40,France metropolitaine,"43,9039402","-0,5061787",,,,,,a verifier,
4110196118,Mosquée Arrhama,170 Rue Elsie Kuhn-Leitz,Avignon,84000,84,France metropolitaine,"43,9461587","4,8302509",,,,,,a verifier,
4130830048,Mosquée de Font Vert,13014 Rue Font-Vert,Marseille,13014,13,France metropolitaine,"43,3279469","5,3916841",,,,,,a verifier,
4137253290,Mosquée de Fresnes,10 Rue Hélène Boucher,Fresnes,94260,94,France metropolitaine,"48,7632235","2,3298217",,,,,,a verifier,
4139363389,Association Culturelle Islamique de la Charente-Maritime,32 Avenue de Berne,La Rochelle,17000,17,France metropolitaine,"46,1662847","-1,1775281",,,,,,a verifier,
4144969227,Mosquée des Saintes Maries,209 Avenue Sergent Gabriel Jourdan,Toulon,83100,83,France metropolitaine,"43,1313049","5,9783476",,,,,,a verifier,
4235436558,Mosquée,,Saint-Étienne,42000,42,France metropolitaine,"45,4349756","4,3823287",,,,,,a verifier,
4325246914,Mosquée,540 Boulevard Lepic,Aix-les-Bains,73100,73,France metropolitaine,"45,6897457","5,9029052",,,,,,a verifier,
4351523173,Mosquée Nasr,9 bis Rue des Rentiers,Tarascon-sur-Ariège,9400,9,France metropolitaine,"42,8458717","1,6043925",,,,,,a verifier,
4352513993,Mosquée,10 Cheminement Vincent d'Indy,Toulouse,31100,31,France metropolitaine,"43,5700205","1,4046909",,,,,,a verifier,
4387252301,Mosquée El-Islah,58 Bis Rue des Sorins,Montreuil,93100,93,France metropolitaine,"48,8585752","2,4258152",https://mosqueeelislah.wordpress.com/,,,,,a verifier,
4398502348,Mosquée,1 Rue Joël le Theule,Montigny-le-Bretonneux,78180,78,France metropolitaine,"48,7857456","2,0432688",,,,,,a verifier,
4415778168,Mosquée El-Fath,2 Allée Maximilien Robespierre,Brive-la-Gaillarde,19100,19,France metropolitaine,"45,1593759","1,5043397",http://www.mosqueedebrive.com/,+33555883205,,,https://www.facebook.com/mosquee.debrive.3,a verifier,
4474863843,Mosquée Al Amal,217 Rue Clemenceau,Wattignies,59139,59,France metropolitaine,"50,5889476","3,0517641",,,,,,a verifier,
4547008433,Mosquée de l'Estaque,35 Rue de la Redonne,Marseille,13016,13,France metropolitaine,"43,3619134","5,3172635",,,,,,a verifier,
4552801737,Mosquée du Chemin Vert,88 Rue du Chemin Vert,Caen,14000,14,France metropolitaine,"49,1940421","-0,3943325",https://cheminvert.org/mosquee/,+33 2 31 47 56 93,,,,a verifier,
4723658471,Mosquée,24 Avenue Marcel Journet,Mouans-Sartoux,6370,6,France metropolitaine,"43,6207925","6,9729697",,,,,,a verifier,
4788720049,Mosquée Bilal,8 Avenue Auguste Wissel,Neuville-sur-Saône,69250,69,France metropolitaine,"45,8773912","4,8442019",,,,,,a verifier,
4825119096,Mosquée de Chaville,40 Rue de la Passerelle,Chaville,92370,92,France metropolitaine,"48,8119888","2,1947213",,,,,,a verifier,
4940449352,Mosquée de Bouzignac,Mail Gustave Flaubert,Tours,37000,37,France metropolitaine,"47,375623","0,7107806",,,,,,a verifier,
4940449353,Mosquée de Joué-lès-Tours,2 Rue Paul Sabatier,Joué-lès-Tours,37300,37,France metropolitaine,"47,347615","0,6580764",,,,,,a verifier,
5109203897,Mosquée Salam,Rue des Velettes,Suresnes,92150,92,France metropolitaine,"48,875511","2,2275472",,,,,,a verifier,
5302916125,Mosquée Bilal,9 Bis Place Anatole France,Clichy-sous-Bois,93390,93,France metropolitaine,"48,905211","2,5549454",,,,,,a verifier,
5310854726,Mosquée Al-Fath,11 Avenue des Acacias,Vandœuvre-lès-Nancy,54500,54,France metropolitaine,"48,6651759","6,1866344",,,,,,a verifier,
5313127344,Mosquée de la Tour-du-Pin,105 Rue d'Italie,La Tour-du-Pin,38110,38,France metropolitaine,"45,5617147","5,4530047",,,,,,a verifier,
5404102461,Mosquée Koba,10 Rue Imbert-Colomès,Lyon,69001,69,France metropolitaine,"45,7712889","4,8327541",,+33 4 78286989,,,,a verifier,
5548288172,Mosquée,23 Rue Francis de Pressensé,Marseille,13001,13,France metropolitaine,"43,3009148","5,3768465",,,,,,a verifier,
5581294821,Association mosquée de Montrouge,51 Rue Racine,Montrouge,92120,92,France metropolitaine,"48,8125835","2,3131517",,,,,,a verifier,
5744609515,Mosquée de Saint-Lô,443 Rue Jean Mantelet,Saint-Lô,50000,50,France metropolitaine,"49,1121641","-1,0509226",,,,,,a verifier,
5993664558,Khalid Ibn Walid,28 Rue Myrha,Paris,75018,75,France metropolitaine,"48,8872341","2,3540843",,,,,,a verifier,
6192592598,Salle de Prière (mosquée),,Herblay-sur-Seine,95220,95,France metropolitaine,"48,99623","2,1511918",,,,,,a verifier,
6259836331,Salle de Prière,56 Rue Stephenson,Paris,75018,75,France metropolitaine,"48,8884413","2,3562847",,,,,,a verifier,
6398287185,Mosquée,165 Bis Rue de Clermont,Beauvais,60000,60,France metropolitaine,"49,4320448","2,1039173",,,,,,a verifier,
6431079092,Mosquée,Rue de la Vierge,Saint-Étienne,42100,42,France metropolitaine,"45,4250546","4,3830783",,,,,,a verifier,
6905792161,Mosquée,5 Rue Marc Sangnier,Angers,49000,49,France metropolitaine,"47,4483625","-0,5650287",,,,,,a verifier,
6905792162,Salle de prière,33 Rue du Maine,Angers,49100,49,France metropolitaine,"47,4787773","-0,546335",,,,,,a verifier,
7068944885,Mosquée La miséricorde,450 Le Grand Mail,Montpellier,34080,34,France metropolitaine,"43,624914","3,8167429",,,,,,a verifier,
7090511585,Mosquée Mosaab Ibn Umaïr,15 Rue Sébastien Gryphe,Lyon,69007,69,France metropolitaine,"45,7527834","4,8449227",,,,,,a verifier,
7102163286,Mosquée,49 Rue Correus,Beauvais,60000,60,France metropolitaine,"49,4260818","2,0981907",,,,,,a verifier,
7284891202,Salle de prière ABPE,90 Avenue du 18 Avril 1944,Athis-Mons,91200,91,France metropolitaine,"48,7015547","2,3867595",https://abpeblog.wordpress.com/,+33 6 23 66 09 38,,,,a verifier,
7405926308,Mesjid Arrahma,14 Avenue de Prades,Perpignan,66000,66,France metropolitaine,"42,6988025","2,8765994",,,,,,a verifier,
7442489921,Association Salama,8 Rue d'Arly,Jœuf,54240,54,France metropolitaine,"49,2257448","6,0159518",,,,,,a verifier,
7772005385,Mosquée El Amine,1 Boulevard Henri Sappia,Nice,6100,6,France metropolitaine,"43,730151","7,2517019",,,,,,a verifier,
7779371537,Al Rahma,51 Allée des Ailes,Vichy,3200,3,France metropolitaine,"46,14586","3,4142657",,,,,,a verifier,
7922642237,Safa,9 Allee des Rosiers,Gennevilliers,92230,92,France metropolitaine,"48,9175819","2,3043542",https://www.trouvetamosquee.fr/mosquee-safa-gennevilliers-hauts-de-seine/,,,,,a verifier,
8085677704,Association Culturelle l'Ouverture,33 Rue Neyron,Saint-Étienne,42000,42,France metropolitaine,"45,44179","4,3957684",,,,,,a verifier,
8143052750,Mosquée,30 Allée de Fécamp,Le Havre,76610,76,France metropolitaine,"49,5078758","0,1763348",,,,,,a verifier,
8267095440,Mosquée,12 Rue du 8 Mai 1945,Moirans,38430,38,France metropolitaine,"45,3275383","5,5620621",,,,,,a verifier,
8300776165,Mosquée de l'Association pour la Fraternité et la Tolérance,52 Rue de la Fraternité,Romainville,93230,93,France metropolitaine,"48,8764596","2,4449819",,,,,,a verifier,
8489279280,Mosquée,15 Rue Roques,Auterive,31190,31,France metropolitaine,"43,353139","1,4782267",,,,,,a verifier,
8836194924,Association musulmane,21 Rue du Théatre,Poligny,39800,39,France metropolitaine,"46,8362148","5,7105812",,,,,,a verifier,
9055245053,Mosquée,,Bandraboua,97650,976,France metropolitaine,"-12,7366939","45,1401347",,,,,,a verifier,
9055404680,Mosquée,78 Rue Hoche,Marseille,13003,13,France metropolitaine,"43,3108825","5,3772573",,,,,,a verifier,
9150014176,Amicale des Algériens de France,47 Avenue Roger Salengro,Vaulx-en-Velin,69120,69,France metropolitaine,"45,7607663","4,9292505",,,,,,a verifier,
