id,name,type,address,city,department,website,phone,email,courses,audience,format,description,tags,verified,featured,active,mosqueeId
oussoul-eddine,Oussoul Eddine,institut,Île-de-France + En ligne,Paris / En ligne,75,https://www.oussoul-eddine.fr/,,,"sciences-islamiques,aqida,fiqh,arabe,coran,hadith,sirah,tafsir","hommes,femmes","presentiel,distanciel","Institut islamique français très reconnu, fondé par des étudiants en sciences islamiques. Formation structurée par niveaux (initiation → avancé) en présentiel et en ligne. Cours de sciences islamiques, arabe, Coran. Forte présence en Île-de-France.","diplômant,sciences islamiques,arabe,IDF,en ligne,hybride,reconnu",TRUE,TRUE,TRUE,
ifi-paris,IFI — Institut de Formation à l'Islam,institut,Paris,Paris,75,https://ifi-paris.fr,,,"sciences-islamiques,arabe,fiqh,aqida,tafsir","hommes,femmes","presentiel,distanciel","Institut parisien proposant des formations en sciences islamiques et langue arabe. Programme structuré, intervenants qualifiés. Cours en présentiel à Paris et à distance.","Paris,sciences islamiques,arabe,formation",FALSE,TRUE,TRUE,
dar-al-iman,Dar Al-Iman — Institut,institut,Île-de-France,Paris / IDF,75,,,,"coran,tajwid,arabe,sciences-islamiques,memorisation","hommes,femmes,enfants","presentiel,distanciel","Institut proposant des cours de Coran, Tajwid, mémorisation et arabe. Cours enfants et adultes, en présentiel et en ligne.","IDF,Coran,mémorisation,enfants,adultes",FALSE,,TRUE,
ribat-al-asr,Ribat Al-'Asr,institut,Île-de-France,IDF,93,,,,"sciences-islamiques,arabe,aqida,fiqh,tafsir,hadith","hommes,femmes","presentiel,distanciel","Institut islamique actif en Seine-Saint-Denis et en ligne. Programme de sciences islamiques pour adultes, plusieurs niveaux disponibles.","93,sciences islamiques,en ligne",FALSE,,TRUE,
gmp-al-ghazali,Institut Al-Ghazali — Grande Mosquée de Paris,institut,2 bis Place du Puits de l'Ermite,Paris 5e,75,https://www.mosqueedeparis.net,01 45 35 97 33,rectorat@mosqueedeparis.net,"arabe,sciences-islamiques,coran,fiqh,aqida,tafsir,hadith","hommes,femmes",presentiel,Institut de formation rattaché à la Grande Mosquée de Paris. Formation complète en sciences islamiques et arabe classique. Cérémonie annuelle de remise des diplômes. Référence historique en France.,"diplômant,arabe classique,théologie,adultes",TRUE,TRUE,TRUE,
mosquee-omar-paris,Mosquée Omar,mosquee,3 rue Léon Joubert,Paris 11e,75,,,,"coran,tajwid,arabe","hommes,femmes,enfants",presentiel,Mosquée proposant des cours de Coran et d'arabe pour adultes et enfants. Programme structuré par niveaux.,"quartier,Coran,enfants",TRUE,,TRUE,mosquee-omar-paris
mosquee-addawa-paris,Mosquée Adda'wa,mosquee,39 rue de Tanger,Paris 19e,75,,,,"coran,arabe,sciences-islamiques,enfants","hommes,femmes,enfants",presentiel,"Centre islamique actif proposant cours de Coran, arabe et sciences islamiques pour tous les niveaux, enfants et adultes.","Coran,arabe,enfants,Paris 19e",TRUE,,TRUE,mosquee-addawa-paris
mosquee-colombes,Grande Mosquée de Colombes,mosquee,56 rue Pierre Brossolette,Colombes,92,,,,"coran,arabe,sciences-islamiques,enfants","hommes,femmes,enfants",presentiel,Grande mosquée de Colombes avec programme éducatif complet pour enfants et adultes.,"92,enfants,Coran",FALSE,,TRUE,mosquee-colombes
mosquee-nanterre,Mosquée de Nanterre (UOIF),mosquee,Nanterre,Nanterre,92,,,,"coran,arabe,enfants","hommes,femmes,enfants",presentiel,Cours hebdomadaires de Coran et d'arabe pour enfants et adultes.,"92,Nanterre",FALSE,,TRUE,mosquee-nanterre
mosquee-gennevilliers,Mosquée de Gennevilliers,mosquee,Gennevilliers,Gennevilliers,92,,,,"coran,arabe,tajwid,enfants,sciences-islamiques","hommes,femmes,enfants",presentiel,"Mosquée très active sur Instagram et TikTok, nombreux cours et conférences. Programme jeunesse développé.","92,Gennevilliers,jeunesse,réseaux sociaux",FALSE,,TRUE,mosquee-gennevilliers
